Event,Latitude,Longitude,Country,State,County,Website
Ashford parkrun,51.14347,0.864218,United Kingdom,England,Kent,https://www.parkrun.org.uk/ashford
Ashgrove parkrun,-27.442334,152.972975,Australia,Queensland,Brisbane,https://www.parkrun.com.au/ashgrove
Ashton Court parkrun,51.443592,-2.639948,United Kingdom,England,North Somerset,https://www.parkrun.org.uk/ashtoncourt
Aspen parkrun,39.187266,-106.852397,USA,Colorado,Pitkin,https://www.parkrun.us/aspen
Atherton parkrun,-17.275414,145.471686,Australia,Queensland,Tablelands,https://www.parkrun.com.au/atherton
Athlone parkrun,53.419271,-7.904069,Ireland,Leinster,Westmeath,https://www.parkrun.ie/athlone
Atholl parkrun,-26.128736,28.065948,South Africa,Gauteng,City of Johannesburg Metropolitan Municipality,https://www.parkrun.co.za/atholl
Atlasville parkrun,-26.160156,28.285877,South Africa,Gauteng,Ekurhuleni Metropolitan Municipality,https://www.parkrun.co.za/atlasville
Aurora parkrun,-37.622365,145.00465,Australia,Victoria,Whittlesea,https://www.parkrun.com.au/aurora
Aveley parkrun,-31.789954,115.988052,Australia,Western Australia,Swan,https://www.parkrun.com.au/aveley
"Avery Beach parkrun, Huntsville",45.321961,-79.232377,Canada,Ontario,District Municipality of Muskoka,https://www.parkrun.ca/averybeach
Aviemore parkrun,57.205275,-3.818635,United Kingdom,Scotland,Highland,https://www.parkrun.org.uk/aviemore
Avondale Forest parkrun,52.908152,-6.225626,Ireland,Leinster,Wicklow,https://www.parkrun.ie/avondaleforest
Avondale University College parkrun,-33.088354,151.463247,Australia,New South Wales,Lake Macquarie Shire,https://www.parkrun.com.au/avondaleuniversitycollege
Aylesbury parkrun,51.83162,-0.838394,United Kingdom,England,Buckinghamshire,https://www.parkrun.org.uk/aylesbury
Ayr parkrun,55.436189,-4.624316,United Kingdom,Scotland,South Ayrshire,https://www.parkrun.org.uk/ayr
Babbs Mill parkrun,52.489833,-1.746034,United Kingdom,England,Solihull,https://www.parkrun.org.uk/babbsmill
Bairnsdale parkrun,-37.823487,147.632774,Australia,Victoria,East Gippsland,https://www.parkrun.com.au/bairnsdale
Balclutha parkrun,-46.238883,169.731177,New Zealand,Otago,Clutha District,https://www.parkrun.co.nz/balclutha
Ballina Coast parkrun,-28.869637,153.576356,Australia,New South Wales,Ballina,https://www.parkrun.com.au/ballinacoast
Ballina parkrun,54.120048,-9.146141,Ireland,Connacht,Mayo,https://www.parkrun.ie/ballina
Ballinamore Greenway parkrun,54.055773,-7.794239,Ireland,Connacht,Leitrim,https://www.parkrun.ie/ballinamoregreenway
Ballincollig parkrun,51.891833,-8.605349,Ireland,Munster,Cork,https://www.parkrun.ie/ballincollig
Ballito parkrun,-29.492418,31.18044,South Africa,KwaZulu-Natal,iLembe District Municipality,https://www.parkrun.co.za/ballito
Baltimore and Annapolis Trail parkrun,39.121671,-76.5901,USA,Maryland,Anne Arundel,https://www.parkrun.us/baltimoreandannapolistrail
Balyang Sanctuary parkrun,-38.166457,144.331179,Australia,Victoria,Greater Geelong,https://www.parkrun.com.au/balyangsanctuary
Banbury parkrun,52.068807,-1.332318,United Kingdom,England,Oxfordshire,https://www.parkrun.org.uk/banbury
"Bangor parkrun, Northern Ireland",54.660024,-5.661693,United Kingdom,Northern Ireland,Down,https://www.parkrun.org.uk/bangor
Bannockburn Bush parkrun,-38.063066,144.142907,Australia,Victoria,Golden Plains,https://www.parkrun.com.au/bannockburnbush
Banstead Woods parkrun,51.307648,-0.184225,United Kingdom,England,Surrey,https://www.parkrun.org.uk/banstead
Bapsfontein Hotel parkrun,-26.004296,28.425336,South Africa,Gauteng,Ekurhuleni Metropolitan Municipality,https://www.parkrun.co.za/bapsfonteinhotel
Barberton parkrun,-25.76011,31.049736,South Africa,Mpumalanga,Ehlanzeni District,https://www.parkrun.co.za/barberton
Barclay parkrun,51.759056,-0.019442,United Kingdom,England,Hertfordshire,https://www.parkrun.org.uk/barclay
Bargara parkrun,-24.806914,152.456905,Australia,Queensland,Bundaberg,https://www.parkrun.com.au/bargara
Baringa parkrun,-26.806829,153.080945,Australia,Queensland,Sunshine Coast,https://www.parkrun.com.au/baringa
Barking parkrun,51.545894,0.087312,United Kingdom,England,Greater London,https://www.parkrun.org.uk/barking
Barnsley parkrun,53.544369,-1.486115,United Kingdom,England,Barnsley,https://www.parkrun.org.uk/barnsley
Barnstaple parkrun,51.072561,-4.053612,United Kingdom,England,Devon,https://www.parkrun.org.uk/barnstaple
Barrow parkrun,54.117706,-3.218855,United Kingdom,England,Cumbria,https://www.parkrun.org.uk/barrow
Barry Curtis parkrun,-36.9597,174.914382,New Zealand,Auckland,Auckland,https://www.parkrun.co.nz/barrycurtis
Barry Island parkrun,51.390202,-3.271371,United Kingdom,Wales,Vale of Glamorgan,https://www.parkrun.org.uk/barryisland
Bartley Park parkrun,50.914371,-1.509865,United Kingdom,England,Hampshire,https://www.parkrun.org.uk/bartleypark
Barton Trail parkrun,44.118501,-79.113992,Canada,Ontario,Durham,https://www.parkrun.ca/bartontrail
Basildon parkrun,51.577778,0.499615,United Kingdom,England,Essex,https://www.parkrun.org.uk/basildon
Basingstoke parkrun,51.258831,-1.082035,United Kingdom,England,Hampshire,https://www.parkrun.org.uk/basingstoke
Batemans Bay parkrun,-35.712112,150.185995,Australia,New South Wales,Eurobodalla,https://www.parkrun.com.au/batemansbay
Bath Skyline parkrun,51.364717,-2.338425,United Kingdom,England,Bath and North East Somerset,https://www.parkrun.org.uk/bathskyline
Bathurst parkrun,-33.414176,149.586917,Australia,New South Wales,Bathurst Regional,https://www.parkrun.com.au/bathurst
Baxter parkrun,-24.891447,113.654841,Australia,Western Australia,-Unknown-,https://www.parkrun.com.au/baxter
Bayview Road parkrun,-20.729535,116.806181,Australia,Western Australia,Karratha,https://www.parkrun.com.au/bayviewroad
Beach Strip parkrun,43.259467,-79.76563,Canada,Ontario,Hamilton,https://www.parkrun.ca/beachstrip
Beacon parkrun,52.685891,-1.83863,United Kingdom,England,Staffordshire,https://www.parkrun.org.uk/beacon
Bear Creek Greenbelt parkrun,32.927592,-97.230411,USA,Texas,Tarrant,https://www.parkrun.us/bearcreekgreenbelt
Beatrixpark parkrun,52.376801,5.199276,Netherlands,Flevoland,Gemeente Almere,https://www.parkrun.co.nl/beatrixpark
Beaufort Lake parkrun,-37.439405,143.382552,Australia,Victoria,Pyrenees,https://www.parkrun.com.au/beaufortlake
Beckenham Place parkrun,51.41853,-0.01959,United Kingdom,England,Greater London,https://www.parkrun.org.uk/beckenhamplace
Beckton parkrun,51.51176,0.046542,United Kingdom,England,Greater London,https://www.parkrun.org.uk/beckton
Bedfont Lakes parkrun,51.440762,-0.451523,United Kingdom,England,Greater London,https://www.parkrun.org.uk/bedfont
Bedford parkrun,52.148125,-0.459366,United Kingdom,England,Bedford,https://www.parkrun.org.uk/bedford
Bedgebury Pinetum parkrun,51.071871,0.450168,United Kingdom,England,Kent,https://www.parkrun.org.uk/bedgeburypinetum
Bedworth parkrun,52.476054,-1.47027,United Kingdom,England,Warwickshire,https://www.parkrun.org.uk/bedworth
Beeston parkrun,52.913592,-1.201737,United Kingdom,England,Nottinghamshire,https://www.parkrun.org.uk/beeston
Bega parkrun,-36.668409,149.852269,Australia,New South Wales,Bega Valley,https://www.parkrun.com.au/bega
Belfast Victoria parkrun,54.608785,-5.881573,United Kingdom,Northern Ireland,Belfast,https://www.parkrun.org.uk/belfastvictoria
Bellerive parkrun,-42.878181,147.37175,Australia,Tasmania,Clarence,https://www.parkrun.com.au/bellerive
Bellevue parkrun,46.500362,-84.298049,Canada,Ontario,Algoma,https://www.parkrun.ca/bellevue
Bells Parade parkrun,-41.228831,146.401326,Australia,Tasmania,Latrobe,https://www.parkrun.com.au/bellsparade
Bellville parkrun,-33.890643,18.629274,South Africa,Western Cape,City of Cape Town,https://www.parkrun.co.za/bellville
Belton House parkrun,52.942743,-0.620021,United Kingdom,England,Lincolnshire,https://www.parkrun.org.uk/beltonhouse
Belvoir Castle parkrun,52.894882,-0.786835,United Kingdom,England,Leicestershire,https://www.parkrun.org.uk/belvoircastle
Benalla Botanical Gardens parkrun,-36.553856,145.977439,Australia,Victoria,Benalla,https://www.parkrun.com.au/benallabotanicalgardens
Bendigo Botanic Gardens parkrun,-36.725618,144.305636,Australia,Victoria,Greater Bendigo,https://www.parkrun.com.au/bendigobotanicgardens
Bere Island parkrun,51.632369,-9.81755,Ireland,Munster,Cork,https://www.parkrun.ie/bereisland
Berkeley Green parkrun,51.690962,-2.497513,United Kingdom,England,Gloucestershire,https://www.parkrun.org.uk/berkeleygreen
Berrinba parkrun,-27.665606,153.077193,Australia,Queensland,Logan,https://www.parkrun.com.au/berrinba
Berwick Springs parkrun,-38.062069,145.322932,Australia,Victoria,Casey,https://www.parkrun.com.au/berwicksprings
Berwick Waters parkrun,-38.078218,145.342965,Australia,Victoria,Casey,https://www.parkrun.com.au/berwickwaters
Bestwood Village parkrun,53.022132,-1.171188,United Kingdom,England,Nottinghamshire,https://www.parkrun.org.uk/bestwoodvillage
Bethlehem parkrun,-28.251308,28.336215,South Africa,Orange Free State,Thabo Mofutsanyana District Municipality,https://www.parkrun.co.za/bethlehem
Bethlem Royal Hospital parkrun,51.385332,-0.029969,United Kingdom,England,Greater London,https://www.parkrun.org.uk/bethlemroyalhospital
Betty’s Bay parkrun,-34.351851,18.926615,South Africa,Western Cape,Overberg District Municipality,https://www.parkrun.co.za/bettysbay
Bevendean Down parkrun,50.844709,-0.107027,United Kingdom,England,Brighton and Hove,https://www.parkrun.org.uk/bevendeandown
Beverley Westwood parkrun,53.840255,-0.440675,United Kingdom,England,East Yorkshire,https://www.parkrun.org.uk/beverleywestwood
Bexley parkrun,51.455132,0.113254,United Kingdom,England,Greater London,https://www.parkrun.org.uk/bexley
Bezuidenhout parkrun,-26.180165,28.089316,South Africa,Gauteng,City of Johannesburg Metropolitan Municipality,https://www.parkrun.co.za/bezuidenhout
Bibra Lake parkrun,-32.093955,115.820636,Australia,Western Australia,City of Cockburn,https://www.parkrun.com.au/bibralake
Bicester parkrun,51.891101,-1.146866,United Kingdom,England,Oxfordshire,https://www.parkrun.org.uk/bicester
Bideford parkrun,51.024075,-4.204316,United Kingdom,England,Devon,https://www.parkrun.org.uk/bideford
